NAME,Ubuntu
ID,ubuntu
PRETTY_NAME,Ubuntu 22.04.5 LTS
VERSION_ID,22.04
VERSION,22.04.5 LTS (Jammy Jellyfish)
VERSION_CODENAME,jammy
ID_LIKE,debian
HOME_URL,https://www.ubuntu.com/
SUPPORT_URL,https://help.ubuntu.com/
BUG_REPORT_URL,https://bugs.launchpad.net/ubuntu/
PRIVACY_POLICY_URL,https://www.ubuntu.com/legal/terms-and-policies/privacy-policy
UBUNTU_CODENAME,jammy
audio_device_selected,['default']
ptb_devices
"0.0:HDA Intel PCH: ALC897 Analog (hw:1,0):ALSA:out2.0"
"1.0:HDA Intel PCH: HDMI 0 (hw:1,3):ALSA:out8.0"
"2.0:HDA Intel PCH: HDMI 1 (hw:1,7):ALSA:out8.0"
"3.0:HDA Intel PCH: HDMI 2 (hw:1,8):ALSA:out8.0"
"4.0:HDA Intel PCH: HDMI 3 (hw:1,9):ALSA:out8.0"

timestamp,latency_ms
2026-02-06T11:48:40.177899,15.374
2026-02-06T11:48:41.207502,17.357
2026-02-06T11:48:42.230508,12.706
2026-02-06T11:48:43.256110,15.374
2026-02-06T11:48:44.286099,17.675
2026-02-06T11:48:45.313538,15.244
2026-02-06T11:48:46.338528,14.957
2026-02-06T11:48:47.363671,14.891
2026-02-06T11:48:48.386528,12.685
2026-02-06T11:48:49.411707,15.060
2026-02-06T11:48:50.436658,14.787
2026-02-06T11:48:51.464541,17.504
2026-02-06T11:48:52.490039,15.160
2026-02-06T11:48:53.518138,15.479
2026-02-06T11:48:54.544880,14.694
2026-02-06T11:48:55.569943,14.600
2026-02-06T11:48:56.598029,17.535
2026-02-06T11:48:57.624956,14.261
2026-02-06T11:48:58.651080,15.041
2026-02-06T11:48:59.681207,17.401
2026-02-06T11:49:00.707860,14.192
2026-02-06T11:49:01.734253,15.148
2026-02-06T11:49:02.763739,17.090
2026-02-06T11:49:03.791662,17.464
2026-02-06T11:49:04.816733,14.758
2026-02-06T11:49:05.842367,15.090
2026-02-06T11:49:06.870073,15.164
2026-02-06T11:49:07.895004,14.989
2026-02-06T11:49:08.919833,14.704
2026-02-06T11:49:09.948037,17.614
2026-02-06T11:49:10.973039,14.890
2026-02-06T11:49:11.998029,14.745
2026-02-06T11:49:13.026175,17.697
2026-02-06T11:49:14.051309,15.108
2026-02-06T11:49:15.081229,17.426
2026-02-06T11:49:16.104206,12.706
2026-02-06T11:49:17.129419,15.098
2026-02-06T11:49:18.159250,17.412
2026-02-06T11:49:19.185173,15.743
2026-02-06T11:49:20.211355,14.056
2026-02-06T11:49:21.237273,14.845
2026-02-06T11:49:22.262267,14.635
2026-02-06T11:49:23.287453,14.644
2026-02-06T11:49:24.315350,17.459
2026-02-06T11:49:25.340278,14.713
2026-02-06T11:49:26.363625,15.176
2026-02-06T11:49:27.393442,17.421
2026-02-06T11:49:28.421479,17.778
2026-02-06T11:49:29.446272,14.781
2026-02-06T11:49:30.471301,14.603
MEAN,15.499
