NAME,Ubuntu
ID,ubuntu
PRETTY_NAME,Ubuntu 24.04.3 LTS
VERSION_ID,24.04
VERSION,24.04.3 LTS (Noble Numbat)
audio_device_selected,['default']
ptb_devices
"0.0:HDA Intel PCH: ALC897 Analog (hw:1,0):ALSA:out2.0"
"1.0:HDA Intel PCH: HDMI 0 (hw:1,3):ALSA:out8.0"
"2.0:HDA Intel PCH: HDMI 1 (hw:1,7):ALSA:out8.0"
"3.0:HDA Intel PCH: HDMI 2 (hw:1,8):ALSA:out8.0"
"4.0:HDA Intel PCH: HDMI 3 (hw:1,9):ALSA:out8.0"

timestamp,latency_ms
2026-02-06T15:48:43.152363,15.124
2026-02-06T15:48:44.174357,11.939
2026-02-06T15:48:45.200448,15.239
2026-02-06T15:48:46.225488,15.113
2026-02-06T15:48:47.248523,12.919
2026-02-06T15:48:48.273515,12.764
2026-02-06T15:48:49.300521,14.606
2026-02-06T15:48:50.328515,17.365
2026-02-06T15:48:51.351602,15.264
2026-02-06T15:48:52.376522,15.029
2026-02-06T15:48:53.399695,12.872
2026-02-06T15:48:54.429684,17.711
2026-02-06T15:48:55.457649,15.539
2026-02-06T15:48:56.484688,14.892
2026-02-06T15:48:57.512716,15.293
2026-02-06T15:48:58.540729,15.542
2026-02-06T15:48:59.565765,12.854
2026-02-06T15:49:00.595818,17.677
2026-02-06T15:49:01.622842,14.606
2026-02-06T15:49:02.650938,17.419
2026-02-06T15:49:03.677926,14.320
2026-02-06T15:49:04.703794,15.052
2026-02-06T15:49:05.725988,11.964
2026-02-06T15:49:06.750631,13.891
2026-02-06T15:49:07.776631,14.713
2026-02-06T15:49:08.803607,16.506
2026-02-06T15:49:09.829938,15.142
2026-02-06T15:49:10.855203,15.144
2026-02-06T15:49:11.885032,17.403
2026-02-06T15:49:12.913119,17.701
2026-02-06T15:49:13.939970,14.501
2026-02-06T15:49:14.966222,15.315
2026-02-06T15:49:15.993214,14.834
2026-02-06T15:49:17.021204,15.163
2026-02-06T15:49:18.049377,15.397
2026-02-06T15:49:19.079214,17.750
2026-02-06T15:49:20.104377,15.251
2026-02-06T15:49:21.134279,17.438
2026-02-06T15:49:22.162202,15.180
2026-02-06T15:49:23.187384,15.142
2026-02-06T15:49:24.215476,15.453
2026-02-06T15:49:25.245430,17.808
2026-02-06T15:49:26.270294,14.933
2026-02-06T15:49:27.296479,15.936
2026-02-06T15:49:28.322369,14.252
2026-02-06T15:49:29.347448,14.017
2026-02-06T15:49:30.370471,11.917
2026-02-06T15:49:31.395512,14.246
2026-02-06T15:49:32.421545,15.065
2026-02-06T15:49:33.448096,13.968
2026-02-06T15:49:34.474124,14.874
2026-02-06T15:49:35.499224,14.709
2026-02-06T15:49:36.521536,11.775
2026-02-06T15:49:37.547587,15.133
2026-02-06T15:49:38.574617,14.437
2026-02-06T15:49:39.600538,15.181
2026-02-06T15:49:40.630627,17.618
2026-02-06T15:49:41.655706,14.985
2026-02-06T15:49:42.678707,12.741
2026-02-06T15:49:43.703592,15.097
2026-02-06T15:49:44.728676,14.928
2026-02-06T15:49:45.751721,12.763
2026-02-06T15:49:46.776763,15.128
2026-02-06T15:49:47.801791,14.993
2026-02-06T15:49:48.824877,12.813
2026-02-06T15:49:49.849881,15.133
2026-02-06T15:49:50.874963,15.040
2026-02-06T15:49:51.902954,15.315
2026-02-06T15:49:52.928123,15.187
2026-02-06T15:49:53.958085,17.475
2026-02-06T15:49:54.985006,14.340
2026-02-06T15:49:56.010030,14.092
2026-02-06T15:49:57.035951,14.904
2026-02-06T15:49:58.058137,11.934
2026-02-06T15:49:59.083831,14.830
2026-02-06T15:50:00.108796,14.678
2026-02-06T15:50:01.135784,16.488
2026-02-06T15:50:02.161834,14.781
2026-02-06T15:50:03.187496,15.079
2026-02-06T15:50:04.215118,15.170
2026-02-06T15:50:05.240311,15.065
2026-02-06T15:50:06.267233,14.436
2026-02-06T15:50:07.293444,15.414
2026-02-06T15:50:08.318284,15.001
2026-02-06T15:50:09.343361,14.882
2026-02-06T15:50:10.366289,12.718
2026-02-06T15:50:11.391440,15.149
2026-02-06T15:50:12.421486,17.444
2026-02-06T15:50:13.449437,15.270
2026-02-06T15:50:14.474432,15.158
2026-02-06T15:50:15.499501,14.992
2026-02-06T15:50:16.525494,15.821
2026-02-06T15:50:17.552599,15.106
2026-02-06T15:50:18.582673,17.441
2026-02-06T15:50:19.610569,14.883
2026-02-06T15:50:20.635608,15.105
2026-02-06T15:50:21.660542,14.913
2026-02-06T15:50:22.682681,11.809
2026-02-06T15:50:23.707705,14.151
2026-02-06T15:50:24.733313,14.607
MEAN,14.962
